name,iata,icao,lat,lon,ico,alt
"Futuna Island Pointe Vele Airport",FUT,NLWF,-14.3113,-178.065994,WF,20
"Fuvahmulah Airport",FVM,VRMR,-0.309444,73.432503,MV,6
"Fuyang Xiguan Airport",FUG,ZSFY,32.882156,115.734367,CN,104
"Fuyuan Dongji Airport",FYJ,ZYFY,48.199493,134.36644,CN,190
"Fuyun Koktokay Airport",FYN,ZWFY,46.804222,89.511978,CN,3059
"Fuzhou Changle International Airport",FOC,ZSFZ,25.934599,119.663368,CN,29
"Fuzuli International Airport",FZL,UBBF,39.594398,47.196602,AZ,1204
"Gabes Matmata International Airport",GAE,DTTG,33.734165,9.921366,TN,26
"Gaborone Sir Seretse Khama International Airport",GBE,FBSK,-24.555201,25.9182,BW,3299
"Gachsaran Airport",GCH,OIAH,30.336399,50.831657,IR,2396
"Gadsden Northeast Alabama Regional Airport",GAD,KGAD,33.97361,-86.087219,US,569
"Gainesville Lee Gilmer Memorial Airport",GVL,KGVL,34.273369,-83.831322,US,1269
"Gainesville Municipal Airport",GLE,KGLE,33.651402,-97.196999,US,845
"Gainesville Regional Airport",GNV,KGNV,29.69005,-82.271698,US,151
"Gaithersburg Montgomery County Airpark",GAI,KGAI,39.168331,-77.166,US,538
"Galcaio Airport",GLK,HCMR,6.780833,47.45472,SO,975
"Galena Airport",GAL,PAGA,64.73616,-156.936996,US,153
"Gallivare Lapland Airport",GEV,ESNG,67.132401,20.814631,SE,1027
"Gallup Municipal Airport",GUP,KGUP,35.511112,-108.786667,US,6472
"Galveston Scholes International Airport",GLS,KGLS,29.265329,-94.860397,US,6
"Gambela Airport",GMB,HAGM,8.128764,34.563129,ET,1771
"Gambell Airport",GAM,PAGM,63.766762,-171.731995,US,29
"Gan International Airport",GAN,VRMG,-0.693333,73.155556,MV,6
"Gander International Airport",YQX,CYQX,48.936939,-54.568001,CA,496
"Ganderkesee Airport",QCQ,EDWQ,53.036091,8.505381,DE,94
"Ganja International Airport",GNJ,UBBG,40.737778,46.317501,AZ,1083
"Ganzhou Huangjin Airport",KOW,ZSGZ,25.851667,114.776665,CN,148
"Gao International Airport",GAQ,GAGO,16.24843,-0.00545,ML,870
"Gap Tallard Airport",GAT,LFNA,44.455002,6.03778,FR,1986
"Garanhuns Airport",QGP,SNGN,-8.83428,-36.4716,BR,2533
"Garden City Regional Airport",GCK,KGCK,37.927521,-100.723999,US,2890
"Garfield County Regional Airport",RIL,KRIL,39.526268,-107.725487,US,5520
"Garissa Airport",GAS,HKGA,-0.4635,39.648289,KE,475
"Garoua International Airport",GOU,FKKR,9.335892,13.3701,CM,794
"Garowe Airport",GGR,HCMW,8.460833,48.572224,SO,1500
"Garze Gesar Airport",GZG,ZUGZ,31.7575,99.554169,CN,13346
"Gasan Marinduque Airport",MRQ,RPUW,13.361,121.825996,PH,32
"Gaspe Airport",YGP,CYGP,48.775269,-64.4786,CA,108
"Gatineau Ottawa Executive Airport",YND,CYND,45.52169,-75.563499,CA,211
"Gavle Airport",GVX,ESSK,60.5933,16.951401,SE,224
"Gaya Airport",GAY,VEGY,24.744301,84.951172,IN,380
"Gaylord Regional Airport",GLR,KGLR,45.009998,-84.699997,US,1328
"Gaziantep Oguzeli Airport",GZT,LTAJ,36.947182,37.47868,TR,2315
"Gazipasa Airport",GZP,LTFG,36.299,32.299999,TR,92
"Gdansk Lech Walesa Airport",GDN,EPGD,54.37756,18.466221,PL,489
"Gdynia Kosakowo Airport",QPO,EPOK,54.579674,18.517136,PL,143
"Geilenkirchen Air Base",GKE,ETNG,50.960865,6.042386,DE,268
"Gelendzhik Airport",GDZ,URKG,44.566666,38.016666,RU,98
"Gelephu Airport",GLU,VQGP,26.88348,90.465965,BT,984
"Geneina Airport",EGN,HSCN,13.48166,22.46722,SD,2650
"General Santos International Airport",GES,RPMR,6.058056,125.096107,PH,505
"Geneva International Airport",GVA,LSGG,46.23806,6.10895,CH,1411
"Genoa Cristoforo Colombo Airport",GOA,LIMJ,44.41333,8.8375,IT,13
"George Airport",GRJ,FAGG,-34.005501,22.37888,ZA,648
"George Town Exuma International Airport",GGT,MYEF,23.56263,-75.877899,BS,9
"George Town Owen Roberts International Airport",GCM,MWCR,19.29277,-81.357697,KY,8
"Georgetown Cheddi Jagan International Airport",GEO,SYCJ,6.498553,-58.254101,GY,95
"Georgetown County Airport",GGE,KGGE,33.311699,-79.319603,US,39
"Georgetown Delaware Coastal Airport",GED,KGED,38.688332,-75.357498,US,50
"Georgetown Eugene F. Correira International Airport",OGL,SYEC,6.807733,-58.105209,GY,7
"Georgetown Municipal Airport",QTG,KGTU,30.677477,-97.678467,US,759
"Geraldton Airport",GET,YGEL,-28.796078,114.702049,AU,121
"Geraldton Greenstone Regional Airport",YGQ,CYGQ,49.778332,-86.9394,CA,1144
"Ghardaia Noumerate Airport",GHA,DAUG,32.384102,3.794114,DZ,1512
"Ghat Airport",GHT,HLGT,25.145559,10.14264,LY,2296
"Gibraltar Airport",GIB,LXGB,36.151211,-5.34966,GI,15
"Giebelstadt Airport",GHF,EDQG,49.648056,9.966389,DE,981
"Gilgit Airport",GIL,OPGT,35.918781,74.333641,PK,4796
"Gillam Airport",YGX,CYGX,56.358051,-94.708,CA,5000
"Gillette Campbell County Airport",GCC,KGCC,44.346355,-105.532684,US,4363
"Gillies Bay Airport",YGB,CYGB,49.700001,-124.533333,CA,300
"Ginbata Airport",GBW,YGIA,-22.5816,120.036255,AU,1416
"Girona Costa Brava Airport",GRO,LEGE,41.900959,2.760547,ES,468
"Gisborne Airport",GIS,NZGS,-38.6633,177.978302,NZ,15
"Giza Sphinx International Airport",SPX,HESX,30.109722,30.894444,EG,553
"Gizo Nusatupe Airport",GZO,AGGN,-8.09777,156.863602,SB,13
"Gjoa Haven Airport",YHK,CYHK,68.635551,-95.849701,CA,152
"Gjogur Airport",GJR,BIGJ,65.9953,-21.3269,IS,83
"Gladstone Airport",GLT,YGLA,-23.871469,151.223511,AU,64
"Glasgow Airport",GGW,KGGW,48.212776,-106.615555,US,2294
"Glasgow International Airport",GLA,EGPF,55.871941,-4.43305,GB,26
"Glasgow Prestwick Airport",PIK,EGPK,55.509441,-4.58666,GB,65
"Glens Falls Floyd Bennett Memorial Airport",GFL,KGFL,43.341202,-73.610298,US,328
"Gloucester Gloucestershire Airport",GLO,EGBJ,51.894161,-2.16722,GB,101
"Goa International Airport",GOX,VOGA,15.744402,73.860626,IN,552
"Goa International Airport",GOI,VOGO,15.38083,73.831421,IN,184
"Goba Robe Airport",GOB,HAGB,7.119172,40.045189,ET,8034
"Gode Airport",GDE,HAGO,5.935128,43.578568,ET,834
"Gods Lake Narrows Airport",YGO,CYGO,54.557701,-94.491173,CA,621
"Gods River Airport",ZGI,CZGI,54.839142,-94.079651,CA,598
"Goiania Santa Genoveva Airport",GYN,SBGO,-16.632,-49.2206,BR,2450
"Gold Coast Airport",OOL,YBCG,-28.156067,153.502426,AU,21
"Golden Triangle Regional Airport",GTR,KGTR,33.450329,-88.591301,US,264
"Golfito Airport",GLF,MRGF,8.653775,-83.180496,CR,49
"Golmud Airport",GOQ,ZLGM,36.4006,94.786102,CN,9324
"Golog Maqin Airport",GMQ,ZLGL,34.415833,100.311111,CN,12427
"Golovin Airport",GLV,PAGL,64.550499,-163.007004,US,59
"Goma International Airport",GOM,FZNA,-1.67081,29.238461,CD,5089
"Gombe Lawanti International Airport",GMO,DNGO,10.298056,10.898889,NG,1551
"Gomel Airport",GME,UMGG,52.52702,31.016689,BY,471
"Gondar Airport",GDQ,HAGN,12.5199,37.43404,ET,6541
"Gondia Airport",GDB,VAGD,21.524944,80.288483,IN,993
"Goodland Municipal Airport",GLD,KGLD,39.370277,-101.699448,US,3656
"Goose Bay Airport",YYR,CYYR,53.31916,-60.4258,CA,160
"Gorakhpur Airport",GOP,VEGK,26.739445,83.449448,IN,259
"Gorgan Airport",GBT,OING,36.909401,54.401299,IR,-24
"Gorna Oryahovitsa Airport",GOZ,LBGO,43.15144,25.712879,BG,285
"Gorno-Altaysk Airport",RGK,UNBG,51.969166,85.836388,RU,959
"Goroka Airport",GKA,AYGA,-6.08168,145.3918,PG,5282
"Gorontalo Jalaluddin Airport",GTO,WAMG,0.637119,122.8498,ID,105
"Goshen Municipal Airport",GSH,KGSH,41.52639,-85.794167,US,827
"Gothenburg City Airport",GSE,ESGP,57.774719,11.87037,SE,59
"Gothenburg Landvetter Airport",GOT,ESGG,57.66283,12.27981,SE,506
"Gove Airport",GOV,YPGV,-12.271392,136.82016,AU,176
"Governador Valadares Airport",GVR,SBGV,-18.896944,-41.986111,BR,561
"Governor's Harbour Airport",GHB,MYEM,25.2847,-76.331001,BS,27
